title,author,date,lure,link
'Apex Legends Mobile' is shutting down after less than a year,Kris Holt,02.01.2023,Electronic Arts is shutting down 'Apex Legends Mobile' less than a year after releasing the game on... ,https://search.engadget.com/click/_ylt=AwrFPijmjO1jkPwTswR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541286/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fea-apex-legends-mobile-battlefield-mobile-shutting-down-172943226.html/RK=2/RS=UTDgX.DiCVWkV7Ddz8Um2sVAPbU-
'Madden NFL 23' will drop CPR touchdown celebrations after Damar Hamlin cardiac arrest,Igor Bonifacic,01.10.2023,Madden NFL 23 developer EA Sports says it will remove the CPR touchdown celebration from the game in... ,https://search.engadget.com/click/_ylt=AwrFPijmjO1jkPwTtQR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541286/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fmadden-nfl-23-will-drop-cpr-touchdown-celebrations-after-damar-hamlin-cardiac-arrest-222512786.html/RK=2/RS=MXLcRQxuFslS87OWNxQR2wYEeSE-
EA says 60 percent of corrupted ‘Madden NFL 23’ franchise save files are gone for good,Will Shanklin,01.04.2023,EA gave Madden NFL 23 players an unwanted gift last week: corrupted save files. The publisher said... ,https://search.engadget.com/click/_ylt=AwrFPijmjO1jkPwTtwR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541286/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fea-madden-nfl-23-connected-franchise-mode-cfm-save-files-230028035.html/RK=2/RS=E94nuPf0DgmP_jxuSKkOGeP81BI-
EA starts rolling out a new PC app to replace Origin,Kris Holt,10.07.2022,"It has been two years since EA announced it was working on a replacement for its Origin PC client,... ",https://search.engadget.com/click/_ylt=AwrFPijmjO1jkPwTuQR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541286/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fea-pc-app-origin-replacement-client-macos-184456809.html/RK=2/RS=HjvIpDwtSkpQyj7JKzcFvEBVW_g-
EA will debut new anti-cheat tech with 'FIFA 23' on PC,Kris Holt,09.13.2022,Electronic Arts is determined to keep cheaters at bay. The company has developed a kernel-level... ,https://search.engadget.com/click/_ylt=AwrFPijmjO1jkPwTuwR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541286/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fea-anti-cheat-tech-fifa-23-pc-kernel-191136885.html/RK=2/RS=r8tyx_oEbwU.CzBBKQt_LmDw4S0-
EA's new 'Skate' is a free-to-play live service game,Kris Holt,07.14.2022,It's been just over two years since we learned that EA was working on the first entry in the Skate... ,https://search.engadget.com/click/_ylt=AwrFPijmjO1jkPwTvQR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541286/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fea-skate-free-to-play-live-service-full-circle-210009151.html/RK=2/RS=6ZTBtJAWUIZC9S02mHAzZ2zV7mM-
EA is reportedly seeking a sale or a merger,Mariella Moon,05.21.2022,Electronic Arts is actively (and persistently) looking for a buyer or another company willing to... ,https://search.engadget.com/click/_ylt=AwrFPijmjO1jkPwTvwR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541286/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fea-sale-or-merger-report-152505136.html/RK=2/RS=xzDj4x0_sMX755ZYMEVyVfDlY60-
EA will stop using FIFA's name in its soccer games next year,Kris Holt,05.10.2022,Electronic Arts is calling it quits with FIFA after nearly 30 years of using the soccer governing... ,https://search.engadget.com/click/_ylt=AwrFPijmjO1jkPwTwQR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541286/RO=10/RU=https%3a%2f%2fwww.engadget.com%2ffifa-23-ea-sports-fc-branding-170729395.html/RK=2/RS=yBf0nKP_S7DVBKW_Ptms8zT5nZo-
EA is making a free-to-play Lord of the Rings RPG for mobile,Kris Holt,05.09.2022,Electronic Arts is stepping back into Middle-earth. The publisher has announced a free-to-play... ,https://search.engadget.com/click/_ylt=AwrFPijmjO1jkPwTwwR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541286/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fea-lord-of-the-rings-mobile-game-153050290.html/RK=2/RS=A4ruj6vpxx48GMVK1SSErWpeINI-
'Apex Legends' season 13 will bring big changes to the Ranked system,Kris Holt,04.25.2022,"Respawn is set to once again shake up Apex Legends next month when the battle royale's 13th season,... ",https://search.engadget.com/click/_ylt=AwrFPijmjO1jkPwTxQR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541286/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fapex-legends-saviors-release-date-new-legend-160556292.html/RK=2/RS=XfwuWU8bunS4spQ6mn2tHioXpZw-
