title,author,date,lure,link
'Marvel's Midnight Suns' is a turn-based RPG from the creators of XCOM,Jon Fingas,08.25.2021,The next Marvel superhero game is reaching deeper into the comic books' back catalog. XCOM developer... ,https://search.engadget.com/click/_ylt=AwrhdaJ4jO1jLTMAb3Z8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541176/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fmarvels-midnight-suns-release-date-trailer-191236120.html/RK=2/RS=ycRgelN2SUcgealOlF3HXb9WaW4-
"Sorry I missed your 30th birthday, Super NES",Nathan Ingraham,08.24.2021,"Like many kids of the ‘80s, I started with the venerable NES. Finally, at some point in 1992, I... ",https://search.engadget.com/click/_ylt=AwrhdaJ4jO1jLTMAcXZ8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541176/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fsuper-nintendo-entertainment-system-30th-anniversary-193016005.html/RK=2/RS=irWqSLAHGBYn3G1oGUZVbvm_Rpg-
"Rare commemorative Game & Watch handheld sells for $9,100 at auction",Igor Bonifacic,08.23.2021,"In recent weeks, we’ve seen one retro Nintendo game after another shatter the record for the most... ",https://search.engadget.com/click/_ylt=AwrhdaJ4jO1jLTMAc3Z8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541176/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fcommemorative-game-and-watch-auction-sale-174356767.html/RK=2/RS=uCctuu5y.YXVgT9PJArk1hH21Pg-
'Pokémon Diamond' and 'Pearl' look better in latest Switch remake trailer,Kris Holt,08.18.2021,"Along with several other games in the franchise, The Pokémon Company (TPC) provided another look at... ",https://search.engadget.com/click/_ylt=AwrhdaJ4jO1jLTMAdXZ8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541176/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fpokemon-brilliant-diamond-shining-pearl-trailer-details-art-style-161620641.html/RK=2/RS=8OfEbwpgmPb2nSVl9da945PYeeE-
'Pokemon Legends: Arceus' trailer shows off an all-new battle system,Kris Holt,08.18.2021,"The Pokémon Company (TPC) held its latest Pokémon Presents event on Wednesday, in which it revealed... ",https://search.engadget.com/click/_ylt=AwrhdaJ4jO1jLTMAd3Z8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541176/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fpokemon-legends-arceus-trailer-battle-system-144543029.html/RK=2/RS=rOjBPp5M8.xgwsDcIZ6Dg0aORlo-
The best Switch controllers for every player level,Kris Naudus,08.18.2021,"The Nintendo Switch is pretty popular, but its included Joy-Cons aren’t for everyone. Some players... ",https://search.engadget.com/click/_ylt=AwrFbCh5jO1jX30ALS98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541177/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fbest-nintendo-switch-controllers-160034389.html/RK=2/RS=B1MnyVO0sqnIXmlPjf_efX993O4-
Watch the latest Pokémon Direct here at 9AM ET,Kris Holt,08.18.2021,There are three Pokémon games on the way to Nintendo Switch in the coming months: Pokémon Legends... ,https://search.engadget.com/click/_ylt=AwrFbCh5jO1jX30ALy98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541177/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fpokemon-direct-how-to-watch-120030532.html/RK=2/RS=oQ1fK7Q7o6jqZpheEwZz4SWTIHM-
The best Nintendo Switch accessories you can buy,Kris Naudus,08.17.2021,"It’s shaping up to be a good year for the Nintendo Switch, with games like New Pokémon Snap, The... ",https://search.engadget.com/click/_ylt=AwrFbCh5jO1jX30AMS98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541177/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fbest-nintendo-switch-accessories-2020-180019499.html/RK=2/RS=K_rziEMQ_aYGCsxik112VRiytu0-
Astro teams up with Timbuk2 to build the ultimate gamer bags,Kris Naudus,08.17.2021,"As someone who regularly attends conventions like PAX, I know the importance of a good bag for your... ",https://search.engadget.com/click/_ylt=AwrFbCh5jO1jX30AMy98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541177/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fastro-gaming-timbuk2-backpack-sling-pack-070125122.html/RK=2/RS=Yb7kSj60ToipPv0XC66fhzI4GcU-
The Switch is the first console to sweep Japan's game sales chart in 33 years,Jon Fingas,08.15.2021,"Game Data Library, Axios and IGN report that every game on Famitsu's August 8th weekly Top 30 chart... ",https://search.engadget.com/click/_ylt=AwrFbCh5jO1jX30ANS98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541177/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-switch-sweeps-japan-game-sales-chart-215610557.html/RK=2/RS=IVbHXHC7xBdHL22ge6A31kcel_U-
‘Spelunky’ and ‘Spelunky 2’ hit Nintendo Switch on August 26th,Kris Holt,08.12.2021,"The two games will hit the eShop in North America, Europe and Australia on August 26th, adding... ",https://search.engadget.com/click/_ylt=AwrFbCh5jO1jX30ANy98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541177/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fspelunky-2-nintendo-switch-release-date-181832059.html/RK=2/RS=PUWBmNZoJyEG8rtOHVTfoYcDRvE-
'Nerf Legends' arena shooter brings the iconic blasters to console and PC,Saqib Shah,08.12.2021,"While we wait for Nerf to come to Oculus VR, Hasbro has unveiled a new game featuring its toy... ",https://search.engadget.com/click/_ylt=AwrFbCh5jO1jX30AOS98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541177/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnerf-legends-game-console-pc-101706045.html/RK=2/RS=AWgJ_8VaRlo6Ie6aBRRymyljsE4-
"'Axiom Verge 2' is out on Switch, PC and PlayStation today",Igor Bonifacic,08.11.2021,"With Samsung hosting its latest Unpacked event earlier today, you may have missed Nintendo's Indie... ",https://search.engadget.com/click/_ylt=AwrFbCh5jO1jX30AOy98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541177/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-indie-world-august-2021-showcase-192608269.html/RK=2/RS=yYv8U.Ir4ywuYl27roXEgaOVTuw-
Nintendo's next indie game showcase takes place on August 11th,Kris Holt,08.10.2021,While it's unlikely Nintendo will surprise everyone with any details about the The Legend of Zelda:... ,https://search.engadget.com/click/_ylt=AwrFbCh5jO1jX30APS98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541177/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-indie-world-showcase-stream-date-163432079.html/RK=2/RS=TR1onoQwDxbVZFID3mrcrpM8bTc-
A sealed copy of 'Super Mario Bros.' has sold for a record-breaking $2 million,Igor Bonifacic,08.06.2021,"An unopened copy of Super Mario Bros. has sold for $2 million, shattering the previous record set by... ",https://search.engadget.com/click/_ylt=AwrFbCh5jO1jX30APy98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541177/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fsuper-mario-bros-rally-sale-164126689.html/RK=2/RS=YW6fxpHFX_AUZofa_hwtYgqBf.0-
Nintendo's sales can't keep up with last year's lockdown boom,Daniel Cooper,08.05.2021,This is the “problem” that Nintendo is currently dealing with as it publishes its most recent... ,https://search.engadget.com/click/_ylt=AwrFNLF6jO1jctETWzp8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-2021-q1-financial-post-animal-crossing-slump-100125720.html/RK=2/RS=NcIfpXmdzeFgvRW13Nk.OR3hL6o-
'Pokémon Unite' update levels the playing field ahead of mobile release,Saqib Shah,08.03.2021,Pokémon Unite is getting an update weeks after it landed on the Switch. The free-to-play battle... ,https://search.engadget.com/click/_ylt=AwrFNLF6jO1jctETXTp8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fpokemon-unite-update-090210374.html/RK=2/RS=WXUA2c1BvyM.nKM131DjrKv1g0c-
This week's best deals: $150 off Apple's MacBook Air M1 and more,Valentina Palladino,07.30.2021,Students planning their back-to-school shopping list have a few ways to save on Apple products — the... ,https://search.engadget.com/click/_ylt=AwrFNLF6jO1jctETXzp8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fweekly-tech-deals-apple-macbook-air-m1-ipad-air-nintendo-switch-mario-kart-live-home-circuit-153058942.html/RK=2/RS=SiM8jOpNpTSDX3gd94gUR8Vib0Y-
Nintendo is shutting down 'Dr. Mario World' for mobile on November 1st,Steve Dent,07.28.2021,"Nintendo transformed its Mario Kart and Pokemon franchises into successful mobile spinoffs, but it... ",https://search.engadget.com/click/_ylt=AwrFNLF6jO1jctETYTp8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-dr-mario-world-is-shutting-down-on-november-1st-050347975.html/RK=2/RS=KgCPruKBkLo2ZJRd9zyIpQLw7YU-
Nintendo's 'Mario Kart Live: Home Circuit' is on sale for $75 right now,Valentina Palladino,07.26.2021,Mario Kart Live: Home Circuit is a good way to spice up your regular racing competitions. It brings... ,https://search.engadget.com/click/_ylt=AwrFNLF6jO1jctETYzp8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-mario-kart-live-home-circuit-mario-luigi-sets-75-sale-amazon-131051344.html/RK=2/RS=jrJ0hp1q5QNC9bM7tQYSLHXcpCo-
Nintendo's next SNES Switch Online games include 'Claymates' and 'Jelly Boy',Devindra Hardawar,07.21.2021,"Where, oh where, are the great SNES games for Nintendo's Switch Online service? No offense to... ",https://search.engadget.com/click/_ylt=AwrFNLF6jO1jctETZTp8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-snes-switch-online-claymates-jelly-boy-bombuzal-150021227.html/RK=2/RS=732zR5NjyJV_zpbjDUR7Ds5iJoA-
Nintendo denies it will squeeze more profit from its new OLED Switch,Steve Dent,07.19.2021,Nintendo has taken the unusual step of denying a report that it's making more profits from its new... ,https://search.engadget.com/click/_ylt=AwrFNLF6jO1jctETZzp8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-denies-it-will-squeeze-more-profit-from-oled-switch-sales-074528512.html/RK=2/RS=Fkq6RcIeXJVS3t31qlPHhuL0i0w-
Nintendo Switch OLED pre-orders open today at 3PM ET,Igor Bonifacic,07.15.2021,"The newest Switch comes with a larger, 7-inch OLED display, as well as 64GB of internal storage, a... ",https://search.engadget.com/click/_ylt=AwrFNLF6jO1jctETaTp8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fhow-to-pre-order-nintendo-switch-oled-155417723.html/RK=2/RS=.gXbV26zR3K_ElVX26bF53Z1MKE-
Someone donated a copy of id Software's 'Super Mario Bros. 3' PC port to a museum,Igor Bonifacic,07.14.2021,"In 2015, John Romero shared a video showing off a demo id Software developed in 1990 to sell... ",https://search.engadget.com/click/_ylt=AwrFNLF6jO1jctETazp8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fid-software-super-mario-bros-3-demo-musuem-of-play-205620761.html/RK=2/RS=cZ8y8iGmvkMCCN5u8wkYQsg.xH4-
Razer’s Barracuda X wireless headset is geared toward Switch and Android players,Kris Naudus,07.13.2021,"Razer has finally stepped up with a mobile-first headset that can connect to your Switch, Android... ",https://search.engadget.com/click/_ylt=AwrFNLF6jO1jctETbTp8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2frazer-barracuda-x-gaming-headset-150058074.html/RK=2/RS=J559pG63_aa7K.fUcgzGkU8Xin8-
Tag Heuer made a Super Mario-themed smartwatch because why not,Cherlynn Low,07.13.2021,Tag Heuer announced today that it's collaborating with Nintendo to make a Super Mario edition of its... ,https://search.engadget.com/click/_ylt=AwrE.1F6jO1jkLkTSB98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fits-a-me-mario-smartwatch-by-tag-heuer-connected-060037257.html/RK=2/RS=2_Nxbk1QU9MI61Z36MgrW4CluXo-
Sealed 'Super Mario 64' game sells at auction for a record-breaking $1.56 million,Saqib Shah,07.12.2021,Nintendo games have been commanding massive prices at auctions this year. Just days after a rare... ,https://search.engadget.com/click/_ylt=AwrE.1F6jO1jkLkTSh98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fsuper-mario-64-record-auction-110510247.html/RK=2/RS=84JzwR_zCAu588PPJ8ECyq6u74Q-
This week's best deals: $30 off Apple's 10.2-inch iPad and more,Valentina Palladino,07.09.2021,"Apple's 10.2-inch iPad is down to $300, and Amazon and Best Buy discounted a bunch of Nintendo... ",https://search.engadget.com/click/_ylt=AwrE.1F6jO1jkLkTTB98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fweekly-tech-deals-apple-10-2-inch-ipad-nintendo-switch-games-sale-animal-crossing-new-horizons-154557315.html/RK=2/RS=HQ3O9GAS7TDZm5gAWX7V7fBS7UI-
"Nintendo’s OLED Switch isn’t the Switch Pro, and that’s okay",Devindra Hardawar,07.07.2021,"For months, reports claimed a “Switch Pro” would also deliver some sort of 4K upscaling capability... ",https://search.engadget.com/click/_ylt=AwrE.1F6jO1jkLkTTh98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-oled-switch-not-switch-pro-161744624.html/RK=2/RS=SLSIJmiEA7dFnllutkXUBL7Fmpg-
The Morning After: Nintendo finally reveals its new Switch,Mat Smith,07.07.2021,"Nintendo’s new, long-rumored Switch has arrived — and it’s not what many of us were hoping for. The... ",https://search.engadget.com/click/_ylt=AwrE.1F6jO1jkLkTUB98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fthe-morning-after-nintendos-anticlimactic-new-switch-reveal-111528537.html/RK=2/RS=an1wQTL005sWyjZ73foO07_KINQ-
Animal Crossing Edition Monopoly arrives in August,Kris Holt,07.06.2021,Tom Nook apparently isn't content to sell houses to millions of Animal Crossing: New Horizons... ,https://search.engadget.com/click/_ylt=AwrE.1F6jO1jkLkTUh98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fmonopoly-animal-crossing-new-horizons-edition-release-date-nintendo-195421852.html/RK=2/RS=cgr_YxggLNuw8yo0ow2nRDw0IYE-
Nintendo's new OLED Switch costs $350 and arrives October 8th,Kris Holt,07.06.2021,"Four years after unleashing the Switch upon the world, Nintendo is releasing an upgraded version of... ",https://search.engadget.com/click/_ylt=AwrE.1F6jO1jkLkTVB98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnew-nintendo-switch-oled-131324519.html/RK=2/RS=NaZd5RTl1NUZiMNTam3ijErMjIQ-
"Animal Crossing, Mario and Pokémon Switch games drop to all-time lows",Valentina Palladino,07.06.2021,"Amazon and Best Buy have the popular Nintendo Switch title for $45, or $15 off its normal price.... ",https://search.engadget.com/click/_ylt=AwrE.1F6jO1jkLkTVh98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fanimal-crossing-new-horizons-deal-mario-pokemon-nintendo-switch-games-sale-130522317.html/RK=2/RS=zJth0Twhz_oF5yLKdFUVYJ0vKEQ-
‘Zelda: Skyward Sword HD’ puts Fi on mute,Igor Bonifacic,07.02.2021,"As you can see from the trailer Nintendo shared today, the remaster will feature several “quality of... ",https://search.engadget.com/click/_ylt=AwrE.1F6jO1jkLkTWB98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fzelda-skyward-sword-hd-quality-of-life-trailer-161256789.html/RK=2/RS=gfbPyXz6d0qhw2u6OjLDln337R4-
The Morning After: Remembering the iconic Nintendo 64,Mat Smith,06.24.2021,"Released in Japan 25 years ago, the Nintendo 64 was the company’s last cartridge-based home console... ",https://search.engadget.com/click/_ylt=AwrE.1F6jO1jkLkTWh98BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541178/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fthe-morning-after-remembering-the-iconic-nintendo-64-112042843.html/RK=2/RS=lpoh.34hFkBlFJpMdtN.Mi5tLvU-
Take a look back at Engadget's favorite Nintendo 64 games,Engadget,06.23.2021,25 years ago today the Nintendo 64 was released in Japan. It was the company’s last cartridge-based... ,https://search.engadget.com/click/_ylt=AwrJ_2R7jO1jKyQTPbR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-64-25th-anniversary-games-140022604.html/RK=2/RS=It43GFFpcv.9xVLAe27qpZSnhkM-
Lego adds Luigi and collaborative play to its Super Mario World line,Daniel Cooper,06.22.2021,Luigi has finally joined his brother in the world of Lego Super Mario. As well as the Adventures... ,https://search.engadget.com/click/_ylt=AwrJ_2R7jO1jKyQTP7R8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2flego-super-mario-luigi-bowser-airship-110034682.html/RK=2/RS=1XPgNTlzQ31Dy00I4b8_xq29TaU-
Amazon includes a free 128GB microSD card when you buy a Switch Lite,Kris Holt,06.21.2021,"The Switch Lite has 32GB of onboard storage, and given the disgustingly good library of games on the... ",https://search.engadget.com/click/_ylt=AwrJ_2R7jO1jKyQTQbR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-switch-lite-amazon-prime-day-free-microsd-card-155602329.html/RK=2/RS=FRKoewbp8DREA4wcJoCfwG07Yv4-
The best gaming deals we could find for Prime Day,Kris Naudus,06.21.2021,"E3 is over, which means you’re probably thinking of upgrading your gaming setup to get the best out... ",https://search.engadget.com/click/_ylt=AwrJ_2R7jO1jKyQTQ7R8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2famazon-prime-day-2021-best-gaming-deals-151004331.html/RK=2/RS=AMClpk7aoBDZlw9S.9DSZ4jr9R8-
Everything you missed at 2021's all-digital E3,Engadget,06.18.2021,"The first online-only E3 officially ended on Tuesday, but the complementary (or competing?) Summer... ",https://search.engadget.com/click/_ylt=AwrJ_2R7jO1jKyQTRbR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fe3-2021-xbox-nintendo-square-enix-ubisoft-wrapup-173012804.html/RK=2/RS=X0jt6XIHMCS4an5.I9_Xx_lrytw-
'A Plague Tale: Innocence' is getting a PS5 and Xbox Series X/S upgrade,Kris Holt,06.17.2021,"A Plague Tale: Innocence was a sleeper hit. It struggled a bit on last-generation consoles, but A... ",https://search.engadget.com/click/_ylt=AwrJ_2R7jO1jKyQTR7R8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fa-plague-tale-innocence-ps5-xbox-series-xs-nintendo-switch-190749665.html/RK=2/RS=UeFMquGh8AwfCkpWRJTVCtzRgfs-
The free-to-start Pokémon MOBA arrives on Nintendo Switch in July,Jon Fingas,06.17.2021,The Pokémon Company and TiMi Studios are finally narrowing down the launch timing for Pokémon Unite.... ,https://search.engadget.com/click/_ylt=AwrJ_2R7jO1jKyQTSbR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fpokemon-unite-switch-mobile-release-date-143043996.html/RK=2/RS=fhpSWqHHgF2QZA1Y40FxljiKyho-
'Metroid Dread' is a dark rebirth for Samus Aran,Aaron Souppouris,06.17.2021,"Metroid Dread can be terrifying. At times, Samus Aran, Nintendo’s all-powerful heroine, is reduced... ",https://search.engadget.com/click/_ylt=AwrJ_2R7jO1jKyQTS7R8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fmetroid-dread-nintendo-switch-preview-e3-130020326.html/RK=2/RS=vieLIzpWfz7FOZWgrLLML8MtZmc-
'Danganronpa' visual novels are finally coming to Nintendo Switch,Mariella Moon,06.16.2021,"The Danganronpa visual novels will finally be available for the Nintendo Switch later this year,... ",https://search.engadget.com/click/_ylt=AwrJ_2R7jO1jKyQTTbR8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fdanganronpa-nintendo-switch-102553388.html/RK=2/RS=KYCak49zF21Sio9uVXIGzfEZ0Fg-
'Mario Party Superstars' revives classic boards and games,Igor Bonifacic,06.15.2021,"When Nintendo releases Mario Party Superstars on October 29th, it will give fans the chance to... ",https://search.engadget.com/click/_ylt=AwrJ_2R7jO1jKyQTT7R8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fmario-party-superstars-october-29-220041138.html/RK=2/RS=0mLwWIZej_RRUB10TQYxYpCItHs-
Watch Nintendo's E3 2021 Direct in 12 minutes,Igor Bonifacic,06.15.2021,"Earlier today, Nintendo was one of the last major publishers to host an E3 2021-related event, and... ",https://search.engadget.com/click/_ylt=AwrNPhV7jO1j.WEADlN8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fwatch-nintendo-direct-e3-2021-212326572.html/RK=2/RS=CSKNfA1THUshB5T2o8.UquNiteI-
Missing: Three games we didn't see during Nintendo's E3 stream,Jessica Conditt,06.15.2021,"Nintendo is the proud proprietor of dozens of legendary franchises, so it's easy for the company to... ",https://search.engadget.com/click/_ylt=AwrNPhV7jO1j.WEAEFN8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-e-3-2021-bayonetta-metroid-splatoon-192534946.html/RK=2/RS=dlTli9qG9adKBuUN7w9LeMqoNJ8-
An adorable Zelda-themed Game & Watch comes out November 12th,Jessica Conditt,06.15.2021,"Long before the Switch Lite and years ahead of the Game Boy, Nintendo had Game & Watch — and... ",https://search.engadget.com/click/_ylt=AwrNPhV7jO1j.WEAElN8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fzelda-game-watch-cute-release-date-2021-170211386.html/RK=2/RS=rHfa8FfQGuGqXd0CP2Cqr7MS2ZU-
'Super Monkey Ball: Banana Mania' comes to consoles and PC on October 5th,Saqib Shah,06.15.2021,Super Monkey Ball's infectious exuberance mixed with its simplicity established it as one of Sega's... ,https://search.engadget.com/click/_ylt=AwrNPhV7jO1j.WEAFFN8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fsuper-monkey-ball-banana-mania-consoles-pc-170053962.html/RK=2/RS=fFPXfHBaS5J7vi0jTbxmLWXqFyA-
Switch-exclusive 'Shin Megami Tensei V' comes out on November 12th,Igor Bonifacic,06.15.2021,"Atlus will release Shin Megami Tensei V on November 12th, Nintendo announced on Tuesday during its... ",https://search.engadget.com/click/_ylt=AwrNPhV7jO1j.WEAFlN8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fshin-megami-tensei-v-november-12th-165509991.html/RK=2/RS=M2evIhvcvYsu1NN4o29skyPyWqI-
Nintendo is bringing remakes of 'Advance Wars' and its sequel to Switch,Kris Holt,06.15.2021,The E3 Nintendo Direct included a treat for fans of the classic turn-based tactical series Wars. New... ,https://search.engadget.com/click/_ylt=AwrNPhV7jO1j.WEAGFN8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541179/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fadvance-wars-reboot-nintendo-switch-e3-direct-165125579.html/RK=2/RS=KW1c_1d59MMGmtAvbV5.QU4en0w-
